# buoy ID | latitude | longitude | type           | anemometer height | air temp height | barometer height | sst depth
46094     | 44.642   | -124.3    | OCEAN_BUOY     | 3.0               | 3.0             | 3.0              | 1.7
46096     | 46.173   | -124.127  | OCEAN_BUOY     | 3.0               | 3.0             | 3.0              | 1.0
46097     | 44.639   | -124.304  | OCEAN_BUOY     | 4.5               | 4.0             | 3.95             | 1.15
46098     | 44.378   | -124.947  | OCEAN_BUOY     | 4.5               | 4.0             | 3.95             | 1.15
46099     | 46.988   | -124.567  | OCEAN_BUOY     | 4.5               | 4.0             | 3.95             | 1.15
46100     | 46.851   | -124.964  | OCEAN_BUOY     | 4.5               | 4.0             | 3.95             | 1.15
46118     | 48.724   | -122.576  | COAST_BUOY     | 2.97              | 2.0             | 2.0              | 0.5
46119     | 47.967   | -124.95   | OCEAN_BUOY     | 3.7               | 3.7             | NaN              | 1.0
46125     | 47.907   | -122.627  | COAST_BUOY     | 2.1               | 2.1             | 1.0              | 3.0
46127     | 46.215   | -124.063  | COAST_BUOY     | 3.0               | 3.0             | 3.0              | 0.0
51000     | 23.528   | -153.792  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
51001     | 24.451   | -162.008  | OCEAN_BUOY     | 3.2               | 2.8             | 1.8              | 1.1
51002     | 17.042   | -157.746  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
51003     | 19.196   | -160.639  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
51004     | 17.538   | -152.23   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
51101     | 24.359   | -162.081  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
AAMC1     | 37.772   | -122.3    | COAST_STATION  | 6.9               | 4.3             | 5.3              | 1.2
ADKA2     | 51.861   | -176.637  | COAST_STATION  | 7.0               | 6.3             | 7.0              | 2.8
AGMW3     | 44.608   | -87.433   | LAKE_STATION   | 9.0               | 9.0             | NaN              | NaN
AGXC1     | 33.716   | -118.246  | COAST_STATION  | 20.0              | NaN             | NaN              | NaN
AJXA2     | 58.287   | -134.398  | COAST_STATION  | 3.0               | 3.0             | 7.6              | NaN
ALIA2     | 56.898   | -154.247  | COAST_STATION  | 10.3              | 9.7             | 6.5              | 2.2
AMAA2     | 58.915   | -151.952  | COAST_STATION  | 15.7              | 15.7            | 35.1             | NaN
AMRL1     | 29.45    | -91.338   | COAST_STATION  | 11.0              | 10.5            | 8.5              | 1.9
ANPT2     | 27.837   | -97.039   | COAST_STATION  | 3.96              | 3.14            | 11.782           | 10.81
ANTA2     | 61.238   | -149.89   | COAST_STATION  | 6.9               | 6.3             | 9.0              | 1.92
ANVC1     | 38.915   | -123.711  | COAST_STATION  | 7.6               | 7.0             | 9.4              | 1.7
APCF1     | 29.724   | -84.98    | COAST_STATION  | 7.0               | 5.4             | 6.2              | 2.0
APNM4     | 45.06    | -83.424   | COAST_STATION  | 18.0              | 15.0            | NaN              | NaN
